"tarih","saat","YukTahminPlan(MWh)","PTF(TL/MWh)","SMF(TL/MWh)","KGUP(TL/MWh)","YAL0(TL/MWh)","YAL1(TL/MWh)","YAT0(TL/MWh)","YAT1(TL/MWh)","YAL TeslimEdilemeyenMiktar(MWh)","YAT TeslimEdilemeyenMiktar(MWh)","PFK Fiyat","SFK Fiyat"
"201802",14,"36300","178","147.53","32243.59","0","0","601","0","0","144.8","46","47.89"
"201802",15,"36100","190.05","159.53","32339.41","0","0","726","0","0","169.989","46","47.89"
"201802",16,"36600","204.79","174.53","32958.55","0","0","830","0","0","131.406","46","47.89"
"201802",17,"37400","203.99","173.53","33800","0","0","657.65","0","0","130.346","46","47.89"
"201802",18,"38400","203.99","175","34297.62","0","0","550.984","0","0","130.33","46","47.89"
"201802",19,"38300","202.29","203","33879.07","506.748","0","0","0","257.676","0","46","47.89"
"201802",20,"37500","195.87","197","32917.81","951","0","0","0","300.7","0","41.9","41.89"
"201802",21,"36500","161.41","165.4","31877.09","416","0","0","0","278.352","0","41.9","41.89"
"201802",22,"35700","177.99","177.99","31405.87","818","0","0","0","233.91","0","41.9","41.89"
"201802",23,"34100","179.99","179.99","30445.48","1172","0","143.534","0","32","2.422","41.9","41.89"
"201802",0,"31600","216.79","216.79","30048.79","901.034","0","425.367","0","29.21","0","39.51","45.01"
"201802",1,"30200","210","210","27842.42","371.917","0","0","0","86.56","0","39.51","45.01"
"201802",2,"28900","196.5","196.5","26413.06","24.7","0","143.883","0","10.36","17.517","39.51","45.01"
"201802",3,"28300","196.49","196.49","25744.38",NULL,NULL,NULL,NULL,NULL,NULL,"39.51","45.01"
"201802",4,"28200","152","152","25601.72",NULL,NULL,NULL,NULL,NULL,NULL,"39.51","55.05"
"201802",5,"28300","145.1","145.1","25737.14",NULL,NULL,NULL,NULL,NULL,NULL,"39.51","55.05"
"201802",6,"29000","171.99","171.99","26195.67",NULL,NULL,NULL,NULL,NULL,NULL,"39.51","55.05"
"201802",7,"30500","174.65","174.65","26981.58","158.5","0","0","0","38.654","0","39.51","55.05"
"201802",4,"28600","158.95","158.95","25804.33",NULL,NULL,NULL,NULL,NULL,NULL,"36","44.14"
"201802",8,"33100","171.99","137.7","29546.01","502.049","0","829.368","0","231.966","13.966","54.99","64.79"
"201802",9,"35400","185","201.28","31820.14","1328.65","0","30.6","0","243.87","0.5","54.99","64.79"
"201802",10,"36000","189.99","204.17","32902.71","1005.9","0","82.183","0","245.418","0","54.99","64.79"
"201802",11,"36400","202.2","219.17","33510.53","1362.265","0","178.2","0","231.03","0","54.99","64.79"
"201802",12,"35100","204.79","205","32192.49","865","0","0","0","144.06","0","45.9","55.29"
"201802",13,"35100","185","185.1","32082.32","1009","0","0","0","332.98","0","45.9","55.29"
"201802",14,"35100","169.98","182","31895.07","937","0","0","0","190.91","0","45.9","55.29"
"201802",15,"34800","156.5","170","31523.72","613","0","0","0","137.75","0","45.9","55.29"
"201802",16,"34800","170.05","182","31380.54","1278.05","0","0","0","538.23","0","45.9","48.8"
"201802",17,"34800","149","164.17","31721.67","994.167","0","271.167","0","186.29","1.469","45.9","48.8"
"201802",18,"36000","177.3","177.3","32999.12","1150.284","0","95","0","823.194","0","45.9","48.8"
"201802",6,"29600","184.99","184.99","27382",NULL,NULL,NULL,NULL,NULL,NULL,"39.99","59.59"
"201802",19,"35900","184.99","185","33147.04","2033.433","0","12.5","0","1474.746","0","45.9","48.8"
"201802",20,"35100","204.99","204.99","32246.79","1850.766","0","31","0","800.146","0","41.79","70"
"201802",21,"34300","167","167","31425.73","233.334","0","0","0","130.303","0","41.79","70"
"201802",22,"33900","169.99","169.99","30820.31",NULL,NULL,NULL,NULL,NULL,NULL,"41.79","70"
"201802",23,"33100","128.99","134","29702.15","425.233","0","122.65","0","149.599","31.75","41.79","70"
"201802",0,"31000","168.24","120","28449.85","331.301","0","1027.331","0","190.9","246.201","37","107"
"201802",1,"29200","168.23","148","26377.46","0","0","464.416","0","0","121.82","37","107"
"201802",2,"27800","123.95","104","25120.86","0","0","388","0","0","116.97","37","107"
"201802",3,"26900","123.96","110.02","24321.31","0","0","513","0","0","179.91","37","107"
"201802",4,"26500","125","105","23746.04","0","0","513","0","0","149.72","38","120"
"201802",5,"26400","115.02","95","23811.11","0","0","461","0","0","83.37","38","120"
"201802",6,"26500","128.99","100.02","23874.19","0","0","562.817","0","0","197.586","38","120"
"201802",7,"26300","118.69","50","23912.99","0","0","1131.566","0","0","348.441","38","120"
"201802",8,"26400","29.99","0","24238.14","0","0","2161.666","14.567","0","579.96","42","115"
"201802",9,"27700","29.99","0.01","24848.09","0","0","1679.414","190.134","0","332.337","42","115"
"201802",10,"29100","118.69","75","25614.07","0","0","1151.783","0","0","110.179","42","115"
"201802",11,"30100","118.69","113","26562.2","0","0","584.451","0","0","73.115","42","115"
"201802",12,"30200","89.98","35.1","26485.16","0","0","1565.785","0","0","416.077","50","119.59"
"201802",13,"30500","123.95","112","26641.69","0","0","844.151","0","0","36.561","50","119.59"
"201802",14,"30500","125.01","113","26340.43","0","0","709.583","0","0","65.876","50","119.59"
"201802",15,"30500","149","118.53","26324.38","0","0","706.416","0","0","185.464","50","119.59"
"201802",16,"30900","125","125","27186.61","0","0","250","0","0","64.74","45","94.24"
"201802",17,"31600","125.01","125.01","28400.86","66.6","0","87.083","0","25.377","2.13","45","94.24"
"201802",18,"33700","210","210","29242.42","324.432","0","0","0","142.326","0","45","94.24"
"201802",19,"34300","215","215","29741.78","742","0","0","0","151","0","45","94.24"
"201802",20,"33900","215.36","216","29196.16","1431.232","0","0","0","76.096","0","45","90"
"201802",21,"33100","215.46","216","28365.28","1732","0","0","0","260.36","0","45","90"
"201802",22,"32700","214.8","229.17","28264.39","1941.866","0","78.866","0","287.594","1.2","45","90"
"201802",23,"31500","196.11","214.17","27115.61","1779.033","0","55.367","0","126.806","0","45","90"
"201802",0,"29800","207.9","207.9","26147.6","573.386","0","259.416","0","91.877","44.695","40.99","80"
"201802",1,"27800","177.99","182","24563.93","699.801","0","178.932","0","126.811","45.292","40.99","80"
"201802",2,"26800","128.96","128.96","23729.91","109.934","0","35.7","0","104.867","3.7","40.99","80"
"201802",3,"26100","128.95","128.95","23405.96","290","0","0","0","233.4","0","40.99","80"
"201802",4,"25900","125.01","125.01","23323.08","110.016","0","0","0","68.233","0","40.99","75"
"201802",5,"26300","128.99","128.99","23484.69","50.966","0","0","0","16.012","0","40.99","75"
"201802",6,"27800","173.1","182","24514.55","2297","0","0","0","1375.721","0","40.99","75"
"201802",7,"30700","177.96","192.18","26988.34","2400.434","0","0","0","1125.162","0","40.99","75"
"201802",8,"35600","174.75","194.75","31805.08","1769.899","0","106.667","0","241.566","0","48","60"
"201802",9,"38500","214.99","233","34124.45","1806","0","87.5","0","396.424","0","48","60"
"201802",10,"38700","205","225","34458.67","2382.05","0","156.316","0","417.607","4.294","48","60"
"201802",11,"38600","207.93","227.93","34286","2453.369","0","79.8","0","600.547","0","48","60"
"201802",12,"36900","169","189","33028.41","1859.983","0","0","0","278.362","0","44.59","48"
"201802",13,"36800","169","189","33434.35","2149.199","0","0","0","312.057","0","44.59","48"
